exit_status,node_layout_reader,node_layout_writer,reader__adios_xml_file,reader__appid,reader__configFile,reader__decomposition,reader__nprocs,reader__scaling,reader__timing_info,reader__walltime_savanna,run_dir,total_workflow_walltime_savanna,user,writer__adios_xml_file,writer__appid,writer__configFile,writer__decomposition,writer__nprocs,writer__scaling,writer__timing_info,writer__walltime_savanna
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,1,1,,,2.54,campaign/eisen/2-processes-sst-bp/run-0.iteration-0,59.13,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,2,2,,,59.13
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,1,1,,,0.46,campaign/eisen/2-processes-sst-bp/run-0.iteration-1,50.73,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,2,2,,,50.73
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,1,1,,,0.51,campaign/eisen/2-processes-sst-bp/run-0.iteration-2,51.82,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,2,2,,,51.82
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,4,4,,,4.33,campaign/eisen/8-processes-sst-bp/run-0.iteration-0,375.1,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,8,8,,,375.1
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,4,4,,,4.75,campaign/eisen/8-processes-sst-bp/run-0.iteration-1,375.1,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,8,8,,,375.08
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,4,4,,,4.8,campaign/eisen/8-processes-sst-bp/run-0.iteration-2,375.1,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,8,8,,,375.09
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,4,4,,,2.7,campaign/eisen/8-processes-sst-ffs/run-0.iteration-0,367.55,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,8,8,,,367.54
failed,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,4,4,,,5.04,campaign/eisen/8-processes-sst-ffs/run-0.iteration-1,8.17,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,8,8,,,8.16
failed,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,4,4,,,5.39,campaign/eisen/8-processes-sst-ffs/run-0.iteration-2,8.45,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,8,8,,,8.44
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,2,2,,,2.4,campaign/eisen/4-processes-sst-ffs/run-0.iteration-0,346.04,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,4,4,,,346.04
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,2,2,,,2.32,campaign/eisen/4-processes-sst-ffs/run-0.iteration-1,338.77,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,4,4,,,338.77
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,2,2,,,2.59,campaign/eisen/4-processes-sst-ffs/run-0.iteration-2,348.07,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,4,4,,,348.06
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,2,2,,,2.58,campaign/eisen/4-processes-sst-bp/run-0.iteration-0,351.86,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,4,4,,,351.86
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,2,2,,,2.75,campaign/eisen/4-processes-sst-bp/run-0.iteration-1,351.85,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,4,4,,,351.85
succeeded,32,32,staging-perf-test-sst-bp.xml,2,staging-perf-test-many-vars.txt,2,2,,,3.07,campaign/eisen/4-processes-sst-bp/run-0.iteration-2,351.44,eisen,staging-perf-test-sst-bp.xml,1,staging-perf-test-many-vars.txt,4,4,,,351.44
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,1,1,,,1.28,campaign/eisen/2-processes-sst-ffs/run-0.iteration-0,45.5,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,2,2,,,45.49
failed,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,1,1,,,0.51,campaign/eisen/2-processes-sst-ffs/run-0.iteration-1,2.49,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,2,2,,,2.49
succeeded,32,32,staging-perf-test-sst-ffs.xml,2,staging-perf-test-many-vars.txt,1,1,,,0.51,campaign/eisen/2-processes-sst-ffs/run-0.iteration-2,39.02,eisen,staging-perf-test-sst-ffs.xml,1,staging-perf-test-many-vars.txt,2,2,,,39.01
